orderid,orderdate,customerid,agegroup,gender,city,devicetype,acquisitionchannel,customersegment,productid,productname,category,subcategory,brand,price,cost,quantity,discount,shippingcost,paymentmethod,orderstatus,deliverydays,revenue,profit,rating,promocodeused,reviewcount,agecategory
O00250,6/12/2025,C1271,45-54,Female,Berlin,Mobile,Direct,Returning,P00250,Slim fit sunglasses - beige,Accessories,Sunglasses,Ray-Ban,86.92,52.65,1,0,3.78,Credit Card,Cancelled,0,86.92,30.49,3,No,0,older adult
O00251,7/17/2025,C1177,18-24,Male,Munich,Desktop,Email,Returning,P00251,Printed sandals - pink,Shoes,Sandals,Bershka,72.78,45.82,1,0,4.15,Google Pay,Delivered,6,72.78,22.81,1,No,55,young
O00252,12/3/2024,C1563,35-44,Female,Cologne,Mobile,Organic Search,Returning,P00252,Classic coats - grey,Clothing,Coats,Stradivarius,218.68,108.13,1,0,3.97,Credit Card,Delivered,5,218.68,106.58,5,No,158,middle-aged
O00253,9/17/2025,C1291,25-34,Male,Frankfurt am Main,Mobile,Organic Search,VIP,P00253,Basic scarves - navy,Accessories,Scarves,Anna Field,31.05,18.79,1,0,3.83,PayPal,Delivered,3,31.05,8.43,2,No,115,adult
O00254,10/15/2025,C1259,35-44,Male,Munich,Mobile,Direct,Returning,P00254,Knitted trousers - khaki,Clothing,Trousers,Bershka,57.8,36.77,1,17,4.2,Gift Card,Delivered,3,47.97,7,2,Yes,139,middle-aged
O00255,9/17/2025,C1018,18-24,Male,Frankfurt am Main,Mobile,Direct,New,P00255,Padded hats & caps - grey,Accessories,Hats & caps,Bershka,56.9,26.14,1,9,1.76,Debit Card,Delivered,7,51.78,23.88,1,Yes,156,young
O00256,1/13/2024,C1479,45-54,Male,Frankfurt am Main,Mobile,Organic Search,VIP,P00256,Classic outdoor shoes - grey,Shoes,Outdoor shoes,The North Face,114.45,68.76,1,0,2.67,Credit Card,Delivered,6,114.45,43.02,4,No,25,older adult
O00257,9/2/2025,C1758,18-24,Male,Munich,Mobile,Organic Search,Returning,P00257,Oversized ankle boots - white,Shoes,Ankle boots,Stradivarius,139.81,68.2,1,0,1.24,Apple Pay,Delivered,3,139.81,70.37,1,No,23,young
O00258,1/18/2024,C1742,35-44,Male,Berlin,Tablet,Organic Search,Returning,P00258,Lace makeup - blue,Beauty,Makeup,KIKO Milano,79.54,39.29,2,0,4.83,PayPal,Cancelled,0,159.08,75.67,3,No,0,middle-aged
O00259,8/21/2024,C1138,55-64,Male,Stuttgart,Mobile,Organic Search,Returning,P00259,Classic dresses - navy,Clothing,Dresses,Bershka,107.93,64.61,1,25,0.45,PayPal,Delivered,4,80.95,15.89,1,Yes,6,senior
O00260,1/21/2025,C1909,35-44,Male,Dusseldorf,Mobile,Direct,Returning,P00260,Leather sportswear - green,Clothing,Sportswear,Adidas,45.48,26.13,2,8,0.5,Gift Card,Cancelled,0,83.68,30.92,3,Yes,0,middle-aged
O00261,2/21/2024,C1962,25-34,Female,Dresden,Mobile,Paid Advertising,New,P00261,Lace sportswear - white,Clothing,Sportswear,Hummel,99.87,56.03,1,0,3.31,PayPal,Delivered,3,99.87,40.53,1,No,19,adult
O00262,8/13/2025,C1430,25-34,Male,Dresden,Desktop,Email,VIP,P00262,Classic skirts - beige,Clothing,Skirts,Pull&Bear,52.17,33.44,1,26,0.57,PayPal,Delivered,5,38.61,4.6,5,Yes,143,adult
O00263,10/23/2024,C1836,25-34,Male,Frankfurt am Main,Desktop,Organic Search,New,P00263,Slim fit hats & caps - navy,Accessories,Hats & caps,Carhartt WIP,59.07,30.99,1,0,3.25,Credit Card,Delivered,3,59.07,24.83,1,No,79,adult
O00264,2/14/2024,C1990,45-54,Female,Cologne,Desktop,Paid Advertising,New,P00264,Basic dresses - green,Clothing,Dresses,Pull&Bear,85.63,42.63,1,0,4.33,Credit Card,Delivered,4,85.63,38.67,1,No,171,older adult
O00265,11/3/2024,C1291,18-24,Non-Binary,Frankfurt am Main,Mobile,Social Media,New,P00265,Printed scarves - green,Accessories,Scarves,The North Face,53.03,30.06,2,9,2.69,Credit Card,Delivered,3,96.51,33.7,3,Yes,184,young
O00266,3/11/2024,C1888,25-34,Female,Berlin,Mobile,Email,New,P00266,Basic jeans - navy,Clothing,Jeans,Levi's,84.92,54.82,2,16,1.59,Credit Card,Delivered,2,142.67,31.44,3,Yes,0,adult
O00267,4/28/2024,C1180,35-44,Female,Dortmund,Desktop,Direct,VIP,P00267,Cotton dresses - red,Clothing,Dresses,Bershka,35.1,16.83,1,10,2.24,Apple Pay,Shipped,2,31.59,12.52,3,Yes,0,middle-aged
O00268,8/12/2024,C1570,25-34,Non-Binary,Berlin,Mobile,Social Media,New,P00268,Knitted dresses - red,Clothing,Dresses,Pull&Bear,181.7,102.37,1,0,1.18,Credit Card,Cancelled,0,181.7,78.15,3,No,0,adult
O00269,3/21/2025,C1377,35-44,Male,Essen,Mobile,Paid Advertising,New,P00269,Printed bags & cases - white,Accessories,Bags & cases,Anna Field,145.79,66.46,1,8,1.94,Gift Card,Delivered,2,134.13,65.73,5,Yes,140,middle-aged
O00270,6/15/2024,C1726,45-54,Female,Frankfurt am Main,Mobile,Direct,New,P00270,Cotton beach shoes - navy,Shoes,Beach shoes,Adidas,42.24,23.05,1,13,2.14,Credit Card,Shipped,6,36.75,11.56,3,Yes,0,older adult
O00271,4/15/2025,C1891,18-24,Male,Berlin,Mobile,Email,VIP,P00271,Classic sneakers - brown,Shoes,Sneakers,Nike,83.9,41.08,3,0,4.01,Debit Card,Delivered,2,251.7,124.45,4,No,42,young
O00272,8/21/2024,C1841,55-64,Non-Binary,Cologne,Mobile,Paid Advertising,New,P00272,Padded sports shoes - khaki,Shoes,Sports shoes,Puma,85.05,47.04,1,22,3.24,Credit Card,Delivered,6,66.34,16.06,3,Yes,0,senior
O00273,11/19/2024,C1104,18-24,Male,Berlin,Desktop,Paid Advertising,Returning,P00273,Oversized jeans - black,Clothing,Jeans,Stradivarius,99.56,59.33,1,7,1.73,PayPal,Delivered,6,92.59,31.53,3,Yes,0,young
O00274,12/27/2024,C1295,25-34,Male,Frankfurt am Main,Mobile,Direct,New,P00274,Slim fit jackets & blazers - black,Clothing,Jackets & Blazers,Anna Field,189.45,85.99,1,0,4.26,Debit Card,Delivered,4,189.45,99.2,4,No,79,adult
O00275,7/24/2024,C1400,35-44,Female,Stuttgart,Desktop,Email,New,P00275,Knitted shorts - black,Clothing,Shorts,JDY,42.13,25.79,1,26,3.2,Credit Card,Shipped,2,31.18,2.19,3,Yes,0,middle-aged
O00276,11/29/2025,C1097,18-24,Female,Dresden,Desktop,Social Media,Returning,P00276,Basic boots - green,Shoes,Boots,Anna Field,141.39,64.13,1,22,3.63,Credit Card,Shipped,6,110.28,42.52,3,Yes,0,young
O00277,3/29/2024,C1958,25-34,Male,Cologne,Tablet,Organic Search,Returning,P00277,Slim fit dresses - brown,Clothing,Dresses,Bershka,185.93,97.16,1,0,3.48,PayPal,Delivered,5,185.93,85.29,3,No,61,adult
O00278,2/22/2025,C1176,45-54,Male,Munich,Mobile,Social Media,New,P00278,Knitted scarves - pink,Accessories,Scarves,The North Face,13.45,8.17,2,21,4.51,PayPal,Shipped,6,21.25,0.4,3,Yes,0,older adult
O00279,10/12/2025,C1724,45-54,Male,Dresden,Mobile,Paid Advertising,New,P00279,Cotton shirts & blouses - navy,Clothing,Shirts & Blouses,Next,81.66,49.11,1,29,2.37,Credit Card,Delivered,5,57.98,6.5,1,Yes,138,older adult
O00280,7/17/2024,C1751,18-24,Male,Berlin,Desktop,Direct,Returning,P00280,Lace sandals - green,Shoes,Sandals,Adidas,97.03,50.79,2,6,5.44,Credit Card,Delivered,3,182.42,75.4,1,Yes,170,young
O00281,8/29/2025,C1676,25-34,Male,Dusseldorf,Mobile,Direct,Returning,P00281,Classic skirts - khaki,Clothing,Skirts,Pull&Bear,48,24.38,2,0,3.53,Apple Pay,Shipped,3,96,43.71,3,No,0,adult
O00282,5/8/2025,C1187,35-44,Female,Essen,Desktop,Paid Advertising,Returning,P00282,Knitted dresses - navy,Clothing,Dresses,Only,174.14,88.21,1,0,3.05,Debit Card,Cancelled,0,174.14,82.88,3,No,0,middle-aged
O00283,12/11/2024,C1704,35-44,Female,Hamburg,Mobile,Paid Advertising,New,P00283,Knitted sweatshirts & hoodies - grey,Clothing,Sweatshirts & Hoodies,Mira Paris,29.16,16.9,1,0,2.01,Apple Pay,Shipped,5,29.16,10.25,3,No,0,middle-aged
O00284,5/16/2025,C1977,25-34,Male,Cologne,Mobile,Email,Returning,P00284,Leather dresses - grey,Clothing,Dresses,Stradivarius,123.94,63.98,1,0,0.55,Gift Card,Delivered,2,123.94,59.41,1,No,71,adult
O00285,1/31/2024,C1254,35-44,Male,Dusseldorf,Tablet,Email,Returning,P00285,Printed socks & tights - beige,Clothing,Socks & Tights,Stradivarius,29.98,17.21,1,18,4.76,Debit Card,Delivered,4,24.58,2.61,3,Yes,59,middle-aged
O00286,12/11/2024,C1836,45-54,Female,Berlin,Mobile,Email,New,P00286,Oversized ankle boots - grey,Shoes,Ankle boots,Anna Field,87.09,42,1,21,4.98,PayPal,Delivered,5,68.8,21.82,2,Yes,7,older adult
O00287,2/25/2025,C1515,45-54,Non-Binary,Hamburg,Mobile,Email,New,P00287,Oversized socks & tights - khaki,Clothing,Socks & Tights,Next,23.57,11.29,2,0,0.89,Google Pay,Delivered,2,47.14,23.67,4,No,163,older adult
O00288,3/11/2025,C1965,18-24,Female,Essen,Mobile,Organic Search,Returning,P00288,Lace jeans - green,Clothing,Jeans,Noisy May,96.37,57.75,1,18,1.89,Gift Card,Cancelled,0,79.02,19.38,3,Yes,0,young
O00289,8/28/2025,C1975,35-44,Female,Essen,Mobile,Paid Advertising,New,P00289,Leather bridal shoes - black,Shoes,Bridal shoes,Anna Field,94.18,47.04,1,21,2.83,Credit Card,Shipped,5,74.4,24.53,3,Yes,0,middle-aged
O00290,4/17/2025,C1354,25-34,Female,Berlin,Mobile,Paid Advertising,Returning,P00290,Slim fit dresses - beige,Clothing,Dresses,Stradivarius,44.82,28.27,1,0,4.7,Credit Card,Delivered,5,44.82,11.85,1,No,106,adult
O00291,10/4/2025,C1390,18-24,Male,Dresden,Mobile,Paid Advertising,New,P00291,Basic boots - black,Shoes,Boots,Anna Field,95.88,48.87,1,0,1.63,Google Pay,Delivered,2,95.88,45.38,4,No,140,young
O00292,3/1/2024,C1169,18-24,Male,Essen,Mobile,Paid Advertising,New,P00292,Padded sneakers - white,Shoes,Sneakers,Vans,128.97,79.08,1,0,2.75,PayPal,Shipped,4,128.97,47.14,3,No,0,young
O00293,3/17/2025,C1225,18-24,Female,Dresden,Desktop,Paid Advertising,New,P00293,Leather sneakers - khaki,Shoes,Sneakers,Vans,93.06,44.17,1,0,2.31,PayPal,Delivered,3,93.06,46.58,1,No,1,young
O00294,1/23/2025,C1739,35-44,Female,Hamburg,Mobile,Direct,New,P00294,Leather sweatshirts & hoodies - black,Clothing,Sweatshirts & Hoodies,Mira Paris,48.46,24.12,1,0,2.86,Credit Card,Returned,0,48.46,21.48,3,No,0,middle-aged
O00295,6/11/2024,C1214,18-24,Male,Cologne,Mobile,Organic Search,VIP,P00295,Basic skirts - khaki,Clothing,Skirts,Pull&Bear,50.04,32.06,1,11,0.93,Gift Card,Delivered,2,44.54,11.55,1,Yes,157,young
O00296,1/13/2024,C1379,45-54,Male,Stuttgart,Mobile,Direct,New,P00296,Padded scarves - navy,Accessories,Scarves,Bershka,18.2,11.56,1,28,4.78,Credit Card,Delivered,2,13.1,-3.24,1,Yes,111,older adult
O00297,6/30/2024,C1496,18-24,Female,Dresden,Mobile,Direct,New,P00297,Classic socks & tights - khaki,Clothing,Socks & Tights,Next,16.2,7.85,2,13,5.27,PayPal,Returned,0,28.19,7.22,3,Yes,0,young
O00298,2/29/2024,C1662,25-34,Female,Frankfurt am Main,Mobile,Organic Search,New,P00298,Oversized outdoor shoes - green,Shoes,Outdoor shoes,The North Face,139.18,63.28,1,0,0.25,Apple Pay,Delivered,2,139.18,75.65,3,No,0,adult
O00299,1/21/2024,C1548,35-44,Female,Berlin,Mobile,Social Media,New,P00299,Leather shirts & blouses - black,Clothing,Shirts & Blouses,Stradivarius,70.13,41.23,1,0,2.9,Gift Card,Delivered,5,70.13,26,4,No,162,middle-aged
O00300,3/15/2024,C1171,55-64,Female,Berlin,Desktop,Organic Search,Returning,P00300,Oversized dresses - brown,Clothing,Dresses,Bershka,36.78,20.65,1,0,4.68,Credit Card,Delivered,4,36.78,11.45,1,No,180,senior
O00301,7/2/2024,C1332,55-64,Female,Stuttgart,Mobile,Organic Search,Returning,P00301,Printed beach shoes - beige,Shoes,Beach shoes,Nike,52.98,30.01,1,0,4.17,PayPal,Shipped,2,52.98,18.8,3,No,0,senior
O00302,10/21/2024,C1679,25-34,Female,Berlin,Desktop,Referral,Returning,P00302,Oversized hats & caps - red,Accessories,Hats & caps,The North Face,64.95,36.95,1,28,4.75,Credit Card,Delivered,5,46.76,5.06,3,Yes,0,adult
O00303,6/6/2025,C1236,25-34,Female,Munich,Desktop,Social Media,New,P00303,Oversized t-shirts & tops - khaki,Clothing,T-shirts & tops,Bershka,77.2,37.95,1,22,0.58,Credit Card,Delivered,3,60.22,21.69,1,Yes,27,adult
O00304,10/22/2025,C1821,35-44,Male,Frankfurt am Main,Mobile,Organic Search,Returning,P00304,Cotton hats & caps - grey,Accessories,Hats & caps,Carhartt WIP,23.49,12.79,1,15,2.71,Gift Card,Delivered,4,19.97,4.47,3,Yes,166,middle-aged
O00305,10/25/2025,C1573,25-34,Female,Munich,Mobile,Direct,Returning,P00305,Knitted ankle boots - green,Shoes,Ankle boots,Bershka,95.45,45.97,1,0,4.61,Credit Card,Returned,0,95.45,44.87,3,No,0,adult
O00306,5/7/2024,C1278,45-54,Female,Cologne,Mobile,Organic Search,Returning,P00306,Printed dresses - khaki,Clothing,Dresses,JDY,186.57,107.39,2,0,5.49,Credit Card,Delivered,7,373.14,152.87,3,No,0,older adult
O00307,3/28/2025,C1236,25-34,Male,Hamburg,Mobile,Organic Search,New,P00307,Knitted jeans - brown,Clothing,Jeans,Stradivarius,80.75,40.3,2,11,2.51,Credit Card,Shipped,5,143.74,60.63,3,Yes,0,adult
O00308,8/19/2025,C1589,35-44,Female,Hamburg,Mobile,Email,New,P00308,Slim fit ankle boots - red,Shoes,Ankle boots,Stradivarius,65.88,38.78,1,0,0.55,Debit Card,Shipped,5,65.88,26.55,3,No,0,middle-aged
O00309,3/11/2024,C1178,35-44,Male,Berlin,Mobile,Paid Advertising,Returning,P00309,Oversized sweatshirts & hoodies - pink,Clothing,Sweatshirts & Hoodies,Bershka,91.92,53.14,1,0,4.58,Credit Card,Returned,0,91.92,34.2,3,No,0,middle-aged
O00310,9/16/2024,C1453,25-34,Female,Cologne,Mobile,Organic Search,New,P00310,Slim fit outdoor - beige,Sports,Outdoor,Adidas,174.89,80.7,3,0,4.53,PayPal,Delivered,2,524.67,278.04,1,No,157,adult
O00311,9/3/2024,C1808,18-24,Non-Binary,Dusseldorf,Desktop,Social Media,Returning,P00311,Leather boots - blue,Shoes,Boots,Bershka,77.66,35.56,1,19,1.58,PayPal,Delivered,3,62.9,25.76,5,Yes,117,young
O00312,9/8/2024,C1671,18-24,Male,Munich,Desktop,Direct,New,P00312,Oversized sweatshirts & hoodies - black,Clothing,Sweatshirts & Hoodies,Hummel,95.2,53.72,2,0,0.99,Credit Card,Delivered,3,190.4,81.97,3,No,0,young
O00313,5/12/2024,C1842,18-24,Male,Dortmund,Desktop,Paid Advertising,New,P00313,Padded jackets & blazers - blue,Clothing,Jackets & Blazers,Pull&Bear,152.53,78.2,3,15,3.66,PayPal,Delivered,7,388.95,150.69,4,Yes,162,young
O00314,8/23/2024,C1418,35-44,Male,Cologne,Tablet,Organic Search,Returning,P00314,Cotton beach shoes - red,Shoes,Beach shoes,Adidas,39.72,18.27,1,28,1.63,PayPal,Shipped,5,28.6,8.7,3,Yes,0,middle-aged
O00315,3/8/2025,C1671,45-54,Male,Essen,Mobile,Paid Advertising,New,P00315,Basic bags & cases - black,Accessories,Bags & cases,Bershka,127.82,63.27,2,10,4.45,Apple Pay,Delivered,6,230.08,99.09,3,Yes,0,older adult
O00316,1/27/2024,C1654,35-44,Male,Dresden,Mobile,Social Media,Returning,P00316,Knitted watches - grey,Accessories,Watches,Anna Field,136.21,84.87,1,8,4.76,Gift Card,Delivered,4,125.31,35.68,5,Yes,77,middle-aged
O00317,10/13/2024,C1372,35-44,Female,Dusseldorf,Desktop,Paid Advertising,Returning,P00317,Classic ankle boots - beige,Shoes,Ankle boots,Nike,120.93,63.89,1,0,1.4,Debit Card,Delivered,5,120.93,55.64,1,No,96,middle-aged
O00318,6/10/2024,C1361,25-34,Non-Binary,Frankfurt am Main,Mobile,Referral,Returning,P00318,Padded swimwear - pink,Clothing,Swimwear,Bershka,21.61,12.96,1,5,3.31,Google Pay,Delivered,7,20.53,4.26,2,Yes,69,adult
O00319,7/6/2025,C1289,35-44,Male,Dusseldorf,Mobile,Social Media,VIP,P00319,Classic dresses - navy,Clothing,Dresses,Mango,91.89,42.61,1,0,3.3,Gift Card,Delivered,2,91.89,45.98,1,No,142,middle-aged
O00320,5/13/2025,C1466,25-34,Female,Berlin,Mobile,Organic Search,New,P00320,Classic dresses - khaki,Clothing,Dresses,Pull&Bear,194.64,112.79,1,20,1.59,Debit Card,Delivered,2,155.71,41.33,3,Yes,175,adult
O00321,10/22/2024,C1031,55-64,Female,Essen,Mobile,Social Media,Returning,P00321,Lace scarves - pink,Accessories,Scarves,Bershka,20.87,11.02,1,6,0.89,Apple Pay,Delivered,7,19.62,7.71,3,Yes,0,senior
O00322,5/20/2025,C1042,45-54,Female,Dortmund,Tablet,Organic Search,Returning,P00322,Cotton skincare - white,Beauty,Skincare,The Ordinary,77.14,40.2,2,0,4.63,Credit Card,Cancelled,0,154.28,69.25,3,No,0,older adult
O00323,2/23/2025,C1453,18-24,Female,Frankfurt am Main,Mobile,Email,Returning,P00323,Leather coats - green,Clothing,Coats,The North Face,148.3,84.7,3,17,2.46,Credit Card,Delivered,6,369.27,112.71,2,Yes,79,young
O00324,9/15/2025,C1536,18-24,Male,Berlin,Desktop,Social Media,VIP,P00324,Knitted boots - green,Shoes,Boots,Anna Field,105.46,53.99,1,0,2.15,Credit Card,Delivered,7,105.46,49.32,5,No,82,young
O00325,7/10/2025,C1350,25-34,Female,Munich,Desktop,Organic Search,Returning,P00325,Lace hats & caps - navy,Accessories,Hats & caps,Carhartt WIP,63.93,38.71,2,0,0.99,Credit Card,Delivered,4,127.86,49.45,4,No,153,adult
O00326,9/25/2024,C1675,25-34,Male,Cologne,Mobile,Paid Advertising,New,P00326,Oversized jeans - khaki,Clothing,Jeans,Levi's,138.56,80.42,1,0,1.6,Debit Card,Processing,2,138.56,56.54,3,No,0,adult
O00327,10/11/2024,C1816,35-44,Male,Berlin,Desktop,Email,Returning,P00327,Basic gloves - brown,Accessories,Gloves,Anna Field,15,9.71,1,11,1.01,Gift Card,Cancelled,0,13.35,2.63,3,Yes,0,middle-aged
O00328,2/11/2025,C1300,45-54,Male,Berlin,Desktop,Organic Search,New,P00328,Classic knitwear & cardigans - brown,Clothing,Knitwear & Cardigans,Stradivarius,113.26,70.24,1,18,0.05,Apple Pay,Shipped,3,92.87,22.58,3,Yes,0,older adult
O00329,2/25/2025,C1897,18-24,Female,Frankfurt am Main,Desktop,Organic Search,Returning,P00329,Basic socks & tights - beige,Clothing,Socks & Tights,Adidas,22.74,10.24,1,26,0,PayPal,Delivered,4,16.83,6.59,1,Yes,125,young
O00330,12/19/2024,C1902,35-44,Female,Dortmund,Desktop,Email,New,P00330,Lace sweatshirts & hoodies - navy,Clothing,Sweatshirts & Hoodies,Adidas,86.52,47.52,2,8,2.05,Credit Card,Delivered,3,159.2,62.11,1,Yes,84,middle-aged
O00331,10/9/2025,C1182,35-44,Female,Dusseldorf,Mobile,Social Media,New,P00331,Knitted jeans - navy,Clothing,Jeans,Noisy May,128.15,82.66,1,0,1.87,Credit Card,Delivered,6,128.15,43.62,5,No,153,middle-aged
O00332,8/28/2024,C1046,45-54,Female,Dusseldorf,Mobile,Organic Search,New,P00332,Knitted sunglasses - green,Accessories,Sunglasses,Casio,61.21,39.37,1,17,1.89,Debit Card,Delivered,4,50.8,9.54,2,Yes,39,older adult
O00333,1/4/2025,C1170,35-44,Male,Dusseldorf,Mobile,Direct,New,P00333,Classic ankle boots - green,Shoes,Ankle boots,Stradivarius,130.87,78.17,1,17,4.86,Google Pay,Cancelled,0,108.62,25.59,3,Yes,0,middle-aged
O00334,10/22/2025,C1138,35-44,Female,Stuttgart,Desktop,Direct,New,P00334,Classic bags & cases - navy,Accessories,Bags & cases,Casio,142.35,81.36,1,17,0.85,Debit Card,Delivered,4,118.15,35.94,2,Yes,22,middle-aged
O00335,3/7/2025,C1589,25-34,Female,Dusseldorf,Mobile,Paid Advertising,New,P00335,Printed jeans - navy,Clothing,Jeans,Noisy May,59.78,34.77,1,9,0.62,Google Pay,Shipped,6,54.4,19.01,3,Yes,0,adult
O00336,8/25/2025,C1905,45-54,Female,Berlin,Desktop,Direct,New,P00336,Lace beach shoes - grey,Shoes,Beach shoes,Adidas,43.07,23.54,2,26,1.2,Credit Card,Delivered,3,63.74,15.46,5,Yes,183,older adult
O00337,1/21/2025,C1558,35-44,Female,Dresden,Desktop,Organic Search,New,P00337,Slim fit sweatshirts & hoodies - grey,Clothing,Sweatshirts & Hoodies,Bershka,43.78,22.39,1,6,3.86,Credit Card,Delivered,5,41.15,14.9,1,Yes,92,middle-aged
O00338,7/11/2025,C1655,18-24,Female,Berlin,Desktop,Referral,Returning,P00338,Knitted running - red,Sports,Running,Adidas,57.53,30.59,2,0,5.27,PayPal,Delivered,6,115.06,48.61,4,No,118,young
O00339,2/15/2024,C1429,35-44,Male,Essen,Mobile,Social Media,New,P00339,Padded scarves - blue,Accessories,Scarves,The North Face,29.63,18.79,3,0,1.87,Apple Pay,Delivered,3,88.89,30.65,1,No,26,middle-aged
O00340,7/16/2025,C1050,35-44,Female,Dortmund,Tablet,Paid Advertising,New,P00340,Leather t-shirts & tops - brown,Clothing,T-shirts & tops,Bershka,44.31,27.08,1,0,4.24,Credit Card,Delivered,4,44.31,12.99,4,No,163,middle-aged
O00341,1/12/2025,C1163,35-44,Non-Binary,Cologne,Mobile,Organic Search,New,P00341,Oversized belts - pink,Accessories,Belts,Urban Classics,32.53,15.9,1,0,4.89,Credit Card,Delivered,2,32.53,11.74,1,No,83,middle-aged
O00342,10/30/2024,C1972,25-34,Male,Hamburg,Mobile,Social Media,New,P00342,Oversized gloves - white,Accessories,Gloves,Nike,44.94,21.8,1,0,4.17,PayPal,Shipped,5,44.94,18.97,3,No,0,adult
O00343,3/3/2024,C1992,25-34,Male,Dusseldorf,Desktop,Paid Advertising,Returning,P00343,Classic bags & cases - pink,Accessories,Bags & cases,Anna Field,79.61,45.26,1,0,2.45,Gift Card,Shipped,7,79.61,31.9,3,No,0,adult
O00344,12/30/2024,C1592,18-24,Male,Frankfurt am Main,Mobile,Direct,Returning,P00344,Printed knitwear & cardigans - green,Clothing,Knitwear & Cardigans,Only,129.8,80.39,1,29,0.83,Credit Card,Returned,0,92.16,10.94,3,Yes,0,young
O00345,11/26/2024,C1787,35-44,Female,Berlin,Mobile,Referral,New,P00345,Padded flat shoes - red,Shoes,Flat shoes,Anna Field,41.11,19.4,1,26,2.19,Google Pay,Delivered,7,30.42,8.83,3,Yes,0,middle-aged
O00346,10/3/2025,C1837,35-44,Female,Essen,Tablet,Direct,VIP,P00346,Oversized gloves - navy,Accessories,Gloves,Adidas,39.04,22.84,1,0,3.95,Apple Pay,Delivered,6,39.04,12.25,5,No,119,middle-aged
O00347,10/15/2024,C1731,35-44,Female,Hamburg,Desktop,Email,Returning,P00347,Slim fit coats - pink,Clothing,Coats,Stradivarius,137.74,68,1,0,1.15,Credit Card,Delivered,4,137.74,68.59,4,No,195,middle-aged
O00348,9/3/2025,C1274,25-34,Male,Cologne,Mobile,Organic Search,New,P00348,Oversized trousers - green,Clothing,Trousers,JDY,95.67,47.24,1,21,0.11,Apple Pay,Delivered,7,75.58,28.23,2,Yes,34,adult
O00349,2/20/2025,C1292,45-54,Male,Cologne,Mobile,Organic Search,Returning,P00349,Leather jackets & blazers - grey,Clothing,Jackets & Blazers,Stradivarius,159.9,73.51,1,26,1.41,PayPal,Returned,0,118.33,43.41,3,Yes,0,older adult
O00350,8/16/2024,C1483,35-44,Male,Hamburg,Mobile,Paid Advertising,Returning,P00350,Basic t-shirts & tops - navy,Clothing,T-shirts & tops,Adidas,50.39,30.61,1,0,3.62,Credit Card,Delivered,5,50.39,16.16,3,No,0,middle-aged
O00351,2/15/2024,C1998,18-24,Female,Dresden,Desktop,Organic Search,Returning,P00351,Knitted hats & caps - khaki,Accessories,Hats & caps,Carhartt WIP,40.86,21.83,1,0,1.59,PayPal,Cancelled,0,40.86,17.44,3,No,0,young
O00352,10/11/2024,C1936,25-34,Female,Dresden,Mobile,Social Media,Returning,P00352,Padded jackets & blazers - black,Clothing,Jackets & Blazers,Anna Field,114.1,60.5,1,17,1.67,PayPal,Delivered,7,94.7,32.53,3,Yes,179,adult
O00353,6/30/2024,C1172,35-44,Female,Essen,Tablet,Social Media,Returning,P00353,Classic sandals - pink,Shoes,Sandals,Nike,57.48,28.67,1,16,0.48,Apple Pay,Delivered,7,48.28,19.13,1,Yes,163,middle-aged
O00354,9/4/2025,C1275,18-24,Male,Frankfurt am Main,Mobile,Email,New,P00354,Oversized golf - green,Sports,Golf,Adidas,188.64,87.96,1,29,3,PayPal,Delivered,7,133.93,42.97,4,Yes,107,young
O00355,4/24/2024,C1151,18-24,Female,Berlin,Mobile,Organic Search,New,P00355,Leather running - white,Sports,Running,Puma,73.4,34.29,1,0,4.09,Credit Card,Delivered,5,73.4,35.02,2,No,68,young
O00356,5/5/2025,C1167,35-44,Female,Berlin,Mobile,Direct,VIP,P00356,Leather skirts - black,Clothing,Skirts,Stradivarius,46.02,22.03,1,0,4.9,Google Pay,Cancelled,0,46.02,19.09,3,No,0,middle-aged
O00357,3/18/2025,C1674,45-54,Male,Stuttgart,Desktop,Organic Search,New,P00357,Padded makeup - brown,Beauty,Makeup,KIKO Milano,51.72,30.16,1,9,1.37,Debit Card,Delivered,3,47.07,15.54,3,Yes,189,older adult
O00358,7/15/2025,C1802,25-34,Male,Frankfurt am Main,Tablet,Email,Returning,P00358,Printed jeans - red,Clothing,Jeans,Stradivarius,113.23,66.7,1,8,4.45,Apple Pay,Delivered,2,104.17,33.02,3,Yes,0,adult
O00359,11/10/2025,C1294,45-54,Male,Berlin,Mobile,Paid Advertising,Returning,P00359,Leather jeans - green,Clothing,Jeans,Levi's,103.63,67.17,1,29,0.92,Credit Card,Delivered,7,73.58,5.49,2,Yes,12,older adult
O00360,7/18/2024,C1772,18-24,Female,Dortmund,Mobile,Organic Search,Returning,P00360,Classic sandals - beige,Shoes,Sandals,Anna Field,76.33,40.92,1,16,0.85,PayPal,Delivered,4,64.12,22.35,2,Yes,39,young
O00361,10/21/2025,C1722,35-44,Female,Dusseldorf,Mobile,Paid Advertising,Returning,P00361,Padded trousers - khaki,Clothing,Trousers,Bershka,85.28,44.12,1,17,1.81,Gift Card,Delivered,7,70.78,24.85,5,Yes,156,middle-aged
O00362,5/8/2024,C1402,55-64,Female,Dresden,Desktop,Direct,New,P00362,Lace bags & cases - red,Accessories,Bags & cases,Pull&Bear,62.55,31.3,1,0,2,Credit Card,Delivered,4,62.55,29.25,3,No,0,senior
